Measure,Sensor,tu,ts,d,acy
3,74,1332500000000,1402496004190,0.7884077,0
3,157,1332750000000,1402496004401,1.1056104,0
3,74,1332750000000,1402496004441,0.7884077,0
3,157,1333000000000,1402496004651,1.1056104,0
3,74,1333000000000,1402496004687,0.7884077,0
3,157,1333250000000,1402496004899,1.0987889,0
3,74,1333250000000,1402496004939,0.7884077,0
3,157,1334000000000,1402496005151,1.0987889,0
3,74,1334000000000,1402496005199,0.7884077,0
3,157,1334250000000,1402496005405,1.0987889,0
3,74,1334250000000,1402496005447,0.7884077,0
3,157,1334500000000,1402496005651,1.0987889,0
3,74,1334500000000,1402496005703,0.7884077,0
3,157,1334750000000,1402496005896,1.0987889,0
3,74,1334750000000,1402496005950,0.7884077,0
3,157,1335000000000,1402496006152,1.0987889,0
3,74,1335000000000,1402496006199,0.7884077,0
3,157,1335250000000,1402496006401,1.0987889,0
3,74,1335250000000,1402496006453,0.7884077,0
3,157,1336000000000,1402496006650,1.1116288,0
3,74,1336000000000,1402496006703,0.7884077,0
3,157,1336250000000,1402496006901,1.1116288,0
3,74,1336250000000,1402496006941,0.7884077,0
3,157,1336500000000,1402496007150,1.1116288,0
3,74,1336500000000,1402496007190,0.7884077,0
3,157,1336750000000,1402496007402,1.1116288,0
3,74,1336750000000,1402496007456,0.7884077,0
3,157,1337000000000,1402496007648,1.1116288,0
3,74,1337000000000,1402496007685,0.7884077,0
3,157,1337250000000,1402496007905,1.160417,0
3,74,1337250000000,1402496007954,0.7884077,0
3,157,1338000000000,1402496008152,1.1716642,0
3,74,1338000000000,1402496008206,0.7884077,0
3,157,1338250000000,1402496008401,1.1716642,0
3,74,1338250000000,1402496008441,0.7884077,0
3,157,1338500000000,1402496008651,1.1716642,0
3,74,1338500000000,1402496008693,0.7884077,0
3,157,1338750000000,1402496008902,1.1716642,0
3,74,1338750000000,1402496008938,0.7884077,0
3,157,1339000000000,1402496009149,1.1716642,0
3,74,1339000000000,1402496009192,0.7884077,0
3,157,1339250000000,1402496009398,1.1716642,0
3,74,1339250000000,1402496009439,0.7884077,0
3,157,1340000000000,1402496009650,1.1716642,0
3,74,1340000000000,1402496009689,0.7884077,0
3,157,1340250000000,1402496009903,1.1716642,0
3,74,1340250000000,1402496009959,0.7884077,0
3,157,1340500000000,1402496010155,1.1716642,0
3,74,1340500000000,1402496010202,0.7884077,0
3,157,1340750000000,1402496010404,1.1716642,0
3,74,1340750000000,1402496010449,0.7884077,0
3,157,1341000000000,1402496010648,1.1716642,0
3,74,1341000000000,1402496010696,0.7884077,0
3,157,1341250000000,1402496010896,1.1716642,0
3,74,1341250000000,1402496010947,0.7884077,0
3,157,1342000000000,1402496011146,1.1716642,0
3,74,1342000000000,1402496011190,0.7884077,0
3,157,1342250000000,1402496011402,1.1716642,0
3,74,1342250000000,1402496011443,0.7884077,0
3,157,1342500000000,1402496011650,1.1440003,0
3,74,1342500000000,1402496011693,0.78151685,0
3,157,1342750000000,1402496011899,0.92676073,0
3,74,1342750000000,1402496011951,0.78151685,0
3,157,1343000000000,1402496012150,0.92676073,0
3,74,1343000000000,1402496012215,0.78151685,0
3,157,1343250000000,1402496012404,0.92676073,0
3,74,1343250000000,1402496012452,0.78151685,0
3,157,1344000000000,1402496012652,0.92879647,0
3,74,1344000000000,1402496012712,0.78151685,0
3,157,1344250000000,1402496012897,0.9937622,0
3,74,1344250000000,1402496012951,0.78151685,0
3,157,1344500000000,1402496013148,0.9937622,0
3,74,1344500000000,1402496013203,0.78151685,0
3,157,1344750000000,1402496013401,0.9937622,0
3,74,1344750000000,1402496013441,0.78151685,0
3,157,1345000000000,1402496013648,0.9937622,0
3,74,1345000000000,1402496013704,0.78151685,0
3,157,1345250000000,1402496013900,0.9937622,0
3,74,1345250000000,1402496013939,0.85732895,0
3,157,1346000000000,1402496014148,0.9970866,0
3,74,1346000000000,1402496014193,0.9108494,0
3,157,1346250000000,1402496014404,1.135078,0
3,74,1346250000000,1402496014459,0.9108494,0
3,157,1346500000000,1402496014656,1.162822,0
3,74,1346500000000,1402496014704,0.9108494,0
3,157,1346750000000,1402496014902,1.2147479,0
3,74,1346750000000,1402496014960,0.9108494,0
3,157,1347000000000,1402496015156,1.2147479,0
3,74,1347000000000,1402496015197,0.9108494,0
3,157,1347250000000,1402496015405,1.2147479,0
3,74,1347250000000,1402496015451,0.9108494,0
3,157,1348000000000,1402496015659,1.2147479,0
3,74,1348000000000,1402496015691,0.9108494,0
3,157,1348250000000,1402496015901,1.2147479,0
3,74,1348250000000,1402496015942,0.9108494,0
3,157,1348500000000,1402496016149,1.2147479,0
3,74,1348500000000,1402496016196,0.9108494,0
3,157,1348750000000,1402496016403,1.2147479,0
3,74,1348750000000,1402496016440,0.9108494,0
3,157,1349000000000,1402496016652,1.2147479,0
3,74,1349000000000,1402496016712,0.9108494,0
3,157,1349250000000,1402496016901,1.2147479,0
3,74,1349250000000,1402496016957,0.9108494,0
3,157,1350000000000,1402496017146,1.2147479,0
